    0.944297134876251221E+02    0.891840279102325439E+02    0.144230669736862183E+02    0.763200877308845520E+02    0.391280207037925720E+01    0.613472461700439453E-01    0.881261980533599854E+02    0.103260299563407898E+02    0.679375712275505066E+02    0.509565204381942749E+00   -0.544264960000000000E+09   -0.506515351937698455E+01    1
    0.840179324150085449E+02    0.714095294475555420E+02    0.297200566530227661E+02    0.217798800468444824E+02    0.473012301325798035E+01    0.486204981803894043E+00    0.852017641067504883E+01    0.154981976747512817E+02    0.335703210830688477E+02    0.487321528792381287E+01   -0.519448608000000000E+09   -0.507515351937697989E+01    1
    0.246030867099761963E+02    0.574776232242584229E+02    0.178041881322860718E+02    0.312245425581932068E+02    0.125972050428390503E+01    0.847523868083953857E+00   -0.609811913967132568E+02    0.320610231161117554E+02    0.570759311914443970E+02    0.788494396209716797E+01   -0.504875584000000000E+09   -0.508515351937698501E+01    1
    0.364336490631103516E+02    0.539019644260406494E+02    0.176783612370491028E+02    0.940262753069400787E+02    0.564907866716384888E+01    0.794187426567077637E+00   -0.724947452545166016E+00    0.248322567343711853E+02    0.477438919544219971E+02    0.736302632093429565E+01   -0.493616000000000000E+09   -0.509515351937699013E+01    1
    0.621526479721069336E+02    0.466074347496032715E+01    0.175519248843193054E+02    0.402679246068000793E+02    0.343419495224952698E+01    0.838012814521789551E+00    0.561752736568450928E+02    0.277476271986961365E+02    0.759358757138252258E+02    0.762994590401649475E+01   -0.418145344000000000E+09   -0.510515351937699080E+01    1
    0.785739719867706299E+02    0.591978788375854492E+02    0.345411619544029236E+02    0.752942966818809509E+02    0.394998866319656372E+01    0.396013140678405762E+00    0.806941723823547363E+02    0.168367972970008850E+02    0.496984069049358368E+02    0.360055270791053772E+01   -0.415947200000000000E+09   -0.511515351937698348E+01    1
    0.489497423171997070E+02    0.891804337501525879E+02    0.257684192061424255E+02    0.114639973342418671E+02    0.138509678840637207E+01    0.555566668510437012E+00   -0.166973090171813965E+02    0.153919881582260132E+02    0.320406761765480042E+01    0.459192800521850586E+01   -0.317549056000000000E+09   -0.512515351937698238E+01    1
    0.749198019504547119E+02    0.705315291881561279E+02    0.240874758362770081E+02    0.957184414863586426E+02    0.154949787259101868E+01    0.331306219100952148E+00   -0.343350112438201904E+02    0.165807193517684937E+02    0.341001579165458679E+01    0.694927546381950378E+01   -0.244069808000000000E+09   -0.513515351937698394E+01    1
    0.323383629322052002E+02    0.988962352275848389E+02    0.163091203570365906E+02    0.325753457546234131E+02    0.724750581383705139E+01    0.934984505176544189E+00    0.442152500152587891E+01    0.233106485009193420E+02    0.380287022888660431E+02    0.728799107670783997E+01   -0.190999456000000000E+09   -0.514515351937697751E+01    1
    0.203126847743988037E+02    0.782958865165710449E+01    0.167279085516929626E+02    0.923384207189083099E+02    0.176995712518692017E+01    0.606187403202056885E+00    0.772388112545013428E+02    0.275682336091995239E+02    0.761094695329666138E+01    0.179010945558547974E+01   -0.183492048000000000E+09   -0.515515351937698085E+01    1
    0.429762840270996094E+02    0.747113943099975586E+02    0.333780115842819214E+02    0.965521739721298218E+02    0.851436883211135864E+00    0.692117273807525635E+00   -0.791770613193511963E+02    0.179065546393394470E+02    0.143296339809894562E+02    0.386310207843780518E+01   -0.123927656000000000E+09   -0.516515351937698330E+01    1
    0.390585482120513916E+02    0.471867620944976807E+02    0.188946878910064697E+02    0.615427280068397522E+02    0.684305283427238464E+01    0.508223414421081543E+00    0.620848560333251953E+02    0.312427452206611633E+02    0.117091471850872040E+02    0.926452457904815674E+00   -0.107952104000000000E+09   -0.517515351937698220E+01    1
    0.692479431629180908E+02    0.209601521492004395E+02    0.167481115460395813E+02    0.779881220459938049E+02    0.258028957247734070E+01    0.660899877548217773E-01   -0.490217685699462891E+01    0.290238878130912781E+02    0.674709704518318176E+02    0.557720243930816650E+00   -0.921401520000000000E+08   -0.518515351937698643E+01    1
    0.744073987007141113E+02    0.684858858585357666E+02    0.180641686916351318E+02    0.654326077997684479E+02    0.552158209681510925E+01    0.360731363296508789E+00    0.764050197601318359E+02    0.169593697786331177E+02    0.429142631590366364E+02    0.354764926433563232E+01   -0.826735120000000000E+08   -0.519515351937698533E+01    1
    0.326999843120574951E+02    0.260083079338073730E+02    0.325026816129684448E+02    0.269291833937168121E+02    0.421046155691146851E+01    0.149662554264068604E+00    0.461324822902679443E+02    0.166903904080390930E+02    0.900946021378040314E+02    0.358566510677337646E+01   -0.476828440000000000E+08   -0.520515351937697623E+01    1
    0.299319028854370117E+01    0.231388449668884277E+02    0.186887091398239136E+02    0.796167767643928528E+02    0.665138038992881775E+01    0.587593495845794678E+00    0.343651163578033447E+02    0.171413993835449219E+02    0.441781702935695648E+02    0.137266832590103149E+01   -0.305203880000000000E+08   -0.521515351937698224E+01    1
    0.934563219547271729E+02    0.696389615535736084E+02    0.177439606189727783E+02    0.220250951349735260E+02    0.265665251016616821E+01    0.768533170223236084E+00    0.545990037918090820E+02    0.349269276857376099E+02    0.936197495460510254E+01    0.160304147005081177E+01   -0.269718840000000000E+08   -0.522515351937697670E+01    1
    0.756164550781250000E+02    0.247545123100280762E+02    0.301763480901718140E+02    0.230554646551609039E+02    0.309524062275886536E+01    0.196273803710937500E+00   -0.682622087001800537E+02    0.183985492587089539E+02    0.574177686274051666E+02    0.452242034673690796E+01   -0.222589160000000000E+08   -0.523515351937698092E+01    1
    0.948349177837371826E+02    0.459912598133087158E+02    0.185922524333000183E+02    0.559164392948150635E+02    0.313623684644699097E+01    0.924537777900695801E+00   -0.662504875659942627E+02    0.228591448068618774E+02    0.843076873719692230E+02    0.643995749950408936E+01   -0.206319220000000000E+08   -0.524515351937698071E+01    1
    0.169742643833160400E+02    0.336618900299072266E+02    0.186922034621238708E+02    0.354051967859268188E+02    0.576718929409980774E+01    0.699945747852325439E+00   -0.853466248512268066E+02    0.219110465049743652E+02    0.538074543178081512E+02    0.531042993068695068E+00   -0.202062280000000000E+08   -0.525515351937698583E+01    1
    0.396185100078582764E+02    0.746549904346466064E+02    0.184215089678764343E+02    0.851699997186660767E+02    0.427301424741744995E+01    0.583538532257080078E+00    0.897578179836273193E+02    0.221342226862907410E+02    0.443891180157661438E+02    0.353386092185974121E+01   -0.140062400000000000E+08   -0.526515351937698739E+01    1
    0.561156749725341797E+02    0.904479265213012695E+02    0.179713359475135803E+02    0.723570176362991333E+02    0.423060315847396851E+01    0.656177937984466553E+00    0.628965997695922852E+02    0.290098986029624939E+02    0.326705862581729889E+02    0.238615351915359497E+01   -0.996986700000000000E+07   -0.527515351937698007E+01    1
    0.773527145385742188E+02    0.565464854240417480E+02    0.187104395031929016E+02    0.163548958003520966E+02    0.354427772760391235E+01    0.431416809558868408E+00    0.199141466617584229E+02    0.294810643792152405E+02    0.132593985497951508E+02    0.604589763283729553E+01   -0.972533400000000000E+07   -0.528515351937697542E+01    1
    0.167421102523803711E+02    0.884603679180145264E+02    0.225136896967887878E+02    0.859898959696292877E+02    0.361912879347801208E+01    0.661554157733917236E+00    0.820709824562072754E+01    0.176299577951431274E+02    0.849139552414417267E+02    0.621146458387374878E+01   -0.768655250000000000E+07   -0.529515351937697609E+01    1
    0.689194083213806152E+02    0.681227803230285645E+02    0.204973733425140381E+02    0.398568144440650940E+01    0.212228137254714966E+01    0.396383404731750488E-01    0.327231538295745850E+02    0.183303719758987427E+02    0.212020945549011230E+01    0.606055054068565369E+01   -0.751659450000000000E+07   -0.530515351937697677E+01    1
